age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,subscribe,date
58,management,married,tertiary,True,2143.0,True,True,unknown,261,1,-1,0.0,True,2008-05-05
44,technician,single,secondary,True,29.0,True,True,unknown,151,1,-1,0.0,True,2008-05-05
33,entrepreneur,married,secondary,True,2.0,True,True,unknown,76,1,-1,0.0,True,2008-05-05
47,blue-collar,married,unknown,True,1506.0,True,True,unknown,92,1,-1,0.0,True,2008-05-05
33,unknown,single,unknown,True,1.0,True,True,unknown,198,1,-1,0.0,True,2008-05-05
35,management,married,tertiary,True,231.0,True,True,unknown,139,1,-1,0.0,True,2008-05-05
28,management,single,tertiary,True,447.0,True,True,unknown,217,1,-1,0.0,True,2008-05-05
42,entrepreneur,divorced,tertiary,True,2.0,True,True,unknown,380,1,-1,0.0,True,2008-05-05
58,retired,married,primary,True,121.0,True,True,unknown,50,1,-1,0.0,True,2008-05-05
43,technician,single,secondary,True,593.0,True,True,unknown,55,1,-1,0.0,True,2008-05-05
41,admin.,divorced,secondary,True,270.0,True,True,unknown,222,1,-1,0.0,True,2008-05-05
29,admin.,single,secondary,True,390.0,True,True,unknown,137,1,-1,0.0,True,2008-05-05
53,technician,married,secondary,True,6.0,True,True,unknown,517,1,-1,0.0,True,2008-05-05
58,technician,married,unknown,True,71.0,True,True,unknown,71,1,-1,0.0,True,2008-05-05
57,services,married,secondary,True,162.0,True,True,unknown,174,1,-1,0.0,True,2008-05-05
51,retired,married,primary,True,229.0,True,True,unknown,353,1,-1,0.0,True,2008-05-05
45,admin.,single,unknown,True,13.0,True,True,unknown,98,1,-1,0.0,True,2008-05-05
57,blue-collar,married,primary,True,52.0,True,True,unknown,38,1,-1,0.0,True,2008-05-05
60,retired,married,primary,True,60.0,True,True,unknown,219,1,-1,0.0,True,2008-05-05
33,services,married,secondary,True,0.0,True,True,unknown,54,1,-1,0.0,True,2008-05-05
28,blue-collar,married,secondary,True,723.0,True,True,unknown,262,1,-1,0.0,True,2008-05-05
56,management,married,tertiary,True,779.0,True,True,unknown,164,1,-1,0.0,True,2008-05-05
32,blue-collar,single,primary,True,23.0,True,True,unknown,160,1,-1,0.0,True,2008-05-05
25,services,married,secondary,True,50.0,True,True,unknown,342,1,-1,0.0,True,2008-05-05
40,retired,married,primary,True,0.0,True,True,unknown,181,1,-1,0.0,True,2008-05-05
44,admin.,married,secondary,True,-372.0,True,True,unknown,172,1,-1,0.0,True,2008-05-05
